# tier-2 gate partition table -- #868
# GENERATED by scripts/gate_partition_build.py from measured logs.
# Do not hand-edit a verdict: the runner re-checks each module's sha256
# and demotes any module whose bytes no longer match its proof.
# commit      be56c4ee1a-wt898
# gate path   test/registered/scheduler
# serial ref  /tmp/898/sched_serial.log
#             {'failed': 44, 'passed': 532, 'skipped': 1, 'warning': 17, 'error': 25} wall=48.79s
# solo dir    /tmp/898/sched_solo
# hermetic    every run behind this table used CUDA_VISIBLE_DEVICES=""
#
# verdicts
#   PARALLEL  solo failure set == serial failure set -> wide lane
#   RANKS     same proof, but the module spawns real ranks -> narrow lane,
#             bounded workers so no rank is starved past its timeout
#   SERIAL    proof failed -> one process, one order (reason below)
#   EXCLUDED  cannot run at the desk at all (needs a card) -> neither track,
#             reported on every run so the gate is never read wider than it is
# totals      {'PARALLEL': 20, 'RANKS': 7, 'SERIAL': 0, 'EXCLUDED': 7}
#
#module	verdict	reason	sha256	ref_failures
test/registered/scheduler/test_abort_with_metrics.py	PARALLEL	solo_equals_serial	e9d2767e71721c06	
test/registered/scheduler/test_admission_ceiling_args.py	PARALLEL	solo_equals_serial	f4615ce95e4f5adf	
test/registered/scheduler/test_admission_limiter.py	PARALLEL	solo_equals_serial	740b65e1c215f2d4	
test/registered/scheduler/test_flip_frame_agreement_656.py	PARALLEL	solo_equals_serial	f05ef1541925e7f8	test/registered/scheduler/test_flip_frame_agreement_656.py::TestFrameDivergence::test_agreeing_ranks_are_unaffected_by_the_ballot,test/registered/scheduler/test_flip_frame_agreement_656.py::TestFrameDivergence::test_can_fail_without_the_ballot_the_divergence_reaches_the_wire,test/registered/scheduler/test_flip_frame_agreement_656.py::TestFrameDivergence::test_the_agreement_repairs_the_length_divergence_this_file_planted,test/registered/scheduler/test_flip_frame_agreement_656.py::TestTheGuardStillCatchesRealCorruption::test_can_fail_planted_corruption_with_frames_agreeing_still_raises,test/registered/scheduler/test_flip_frame_agreement_656.py::TestTheGuardStillCatchesRealCorruption::test_the_old_mailbox_path_is_unchanged
test/registered/scheduler/test_flip_live_slot_agreement_656.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	55413cb01ca1a654	test/registered/scheduler/test_flip_live_slot_agreement_656.py::TheCountCanAgreeWhileTheSetStillDivergesTest::test_a_second_consecutive_round_abandons_again_not_once,test/registered/scheduler/test_flip_live_slot_agreement_656.py::TheCountCanAgreeWhileTheSetStillDivergesTest::test_equal_cardinality_membership_shift_still_abandons_the_flip,test/registered/scheduler/test_flip_live_slot_agreement_656.py::TheDigestStaysOrderInsensitiveTest::test_shuffled_insertion_order_frames_identically_to_sorted
test/registered/scheduler/test_gdn_flip_mover.py	PARALLEL	solo_equals_serial	f7aa544aa8b87a73	
test/registered/scheduler/test_gdn_flip_plan.py	PARALLEL	solo_equals_serial	dede3600c1ccec1a	
test/registered/scheduler/test_grow_debt_payment_839.py	PARALLEL	solo_equals_serial	2da096e86a65e746	
test/registered/scheduler/test_idle_blocking_poll.py	RANKS	solo_equals_serial;spawns_real_ranks:multiprocessing	a5fae25e0b1fccf1	
test/registered/scheduler/test_kv_pressure_runtime.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	297e44dd5ef3498e	
test/registered/scheduler/test_kv_reshard.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	25f8bae33884a9f8	
test/registered/scheduler/test_load_snapshot_server.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	c510adf99e7c5ba5	test/registered/scheduler/test_load_snapshot_server.py::TestLoadSnapshotNoDP::test_shm_backend,test/registered/scheduler/test_load_snapshot_server.py::TestLoadSnapshotNoDP::test_zmq_backend,test/registered/scheduler/test_load_snapshot_server.py::TestLoadSnapshotNormalDP::test_shm_backend,test/registered/scheduler/test_load_snapshot_server.py::TestLoadSnapshotNormalDP::test_zmq_backend
test/registered/scheduler/test_min_free_slots_delayer.py	PARALLEL	solo_equals_serial	b9dbdc2439873d26	
test/registered/scheduler/test_mixed_chunked_prefill.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	ae47ad46feaf5d5e	test/registered/scheduler/test_mixed_chunked_prefill.py::TestMixedChunkedPrefill::test_gsm8k,test/registered/scheduler/test_mixed_chunked_prefill.py::TestMixedChunkedPrefillNoRadixCache::test_gsm8k
test/registered/scheduler/test_phase_flip_boot.py	PARALLEL	solo_equals_serial	485fe5ee0c298133	test/registered/scheduler/test_phase_flip_boot.py::TestPhaseFlipStacksRefill::test_refill_dispatches_per_direction
test/registered/scheduler/test_phase_flip_plan.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	50516aa3b02aedc3	
test/registered/scheduler/test_phase_flip_protocol.py	PARALLEL	solo_equals_serial	2218a2ff000c58d5	test/registered/scheduler/test_phase_flip_protocol.py::TestPin4SchedulerLevelReplay::test_deferred_aborts_apply_in_order_after_cutover_on_all_ranks
test/registered/scheduler/test_phase_flip_resident_carry.py	PARALLEL	solo_equals_serial	5aff91a83f87ed66	
test/registered/scheduler/test_phase_flip_round_cadence_631.py	PARALLEL	solo_equals_serial	19f2fbe6f6ee9332	
test/registered/scheduler/test_phase_flip_runtime.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	15638eb015260852	test/registered/scheduler/test_phase_flip_runtime.py::TestAbortDeferral::test_deferral_keeps_flip_clean_then_applies_abort,test/registered/scheduler/test_phase_flip_runtime.py::TestAbortDeferral::test_the_agreement_repairs_the_dropped_slot_instead_of_wedging,test/registered/scheduler/test_phase_flip_runtime.py::TestByteIdentity::test_pp_to_tp_flip_byte_identity,test/registered/scheduler/test_phase_flip_runtime.py::TestByteIdentity::test_roundtrip_restores_pp_pools,test/registered/scheduler/test_phase_flip_runtime.py::TestConsensusDiscipline::test_checksum_falsifier_corrupted_payload_pool_untouched,test/registered/scheduler/test_phase_flip_runtime.py::TestConsensusDiscipline::test_readiness_skew_holds_uniformly_then_commits,test/registered/scheduler/test_phase_flip_runtime.py::TestConsensusDiscipline::test_truncated_payload_is_loud_size_error,test/registered/scheduler/test_phase_flip_runtime.py::TestEmptyLiveSetFlip::test_full_flip_with_an_empty_live_set,test/registered/scheduler/test_phase_flip_runtime.py::TestPreWriteSeamOrdering::test_hook_fires_between_last_read_and_first_write,test/registered/scheduler/test_phase_flip_runtime.py::TestSeamWavesAreByteIdentical::test_one_wave_and_the_default_split_agree_byte_for_byte,test/registered/scheduler/test_phase_flip_runtime.py::TestSeamWavesAreByteIdentical::test_the_waved_run_really_did_land_the_reference_rows,test/registered/scheduler/test_phase_flip_runtime.py::TestSharedArenaReadsPrecedeWrites::test_aliased_result_matches_the_disjoint_reference,test/registered/scheduler/test_phase_flip_runtime.py::TestSharedArenaReadsPrecedeWrites::test_pp_to_tp_is_byte_exact_with_aliased_pools,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_aliased_pools_keep_release_first,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_blocking_shrinks_the_commit_unit,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_each_block_restores_then_releases_and_the_wave_is_finalised,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_each_wave_restores_the_destination_before_releasing_the_source,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_reclaim_runs_once_and_ahead_of_the_first_restore,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_reordering_the_seam_changes_no_byte,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_the_seam_is_waved_at_all,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_the_streamed_seam_writes_the_same_bytes_as_the_whole_wave_one,test/registered/scheduler/test_phase_flip_runtime.py::TestWavedSeamOrdering::test_waves_do_not_interleave
test/registered/scheduler/test_phase_flip_seam_reserve.py	PARALLEL	solo_equals_serial	a3598a79ab73d5e0	
test/registered/scheduler/test_phase_policy_arm_outcome.py	PARALLEL	solo_equals_serial	10d1bc62510916e1	
test/registered/scheduler/test_prefill_delayer.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	e2cee7aaae046ad7	test/registered/scheduler/test_prefill_delayer.py::TestPrefillDelayerAccuracy::test_1_gsm8k_has_prefill_delayer,test/registered/scheduler/test_prefill_delayer.py::TestPrefillDelayerAccuracy::test_2_gsm8k_no_prefill_delayer,test/registered/scheduler/test_prefill_delayer.py::TestPrefillDelayerThroughputOfflineGen::test_throughput_comparison,test/registered/scheduler/test_prefill_delayer.py::TestPrefillDelayerThroughputOnlineServing::test_throughput_comparison,test/registered/scheduler/test_prefill_delayer.py::TestPrefillDelayerTokenUsageLowWatermark::test_1_with_low_watermark
test/registered/scheduler/test_priority_scheduling.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	1afe09e04f917560	test/registered/scheduler/test_priority_scheduling.py::TestPriorityScheduling::test_priority_scheduling_existing_requests_abortion_validation,test/registered/scheduler/test_priority_scheduling.py::TestPriorityScheduling::test_priority_scheduling_incoming_request_rejection_validation,test/registered/scheduler/test_priority_scheduling.py::TestPriorityScheduling::test_priority_scheduling_preemption_below_threshold_validation,test/registered/scheduler/test_priority_scheduling.py::TestPriorityScheduling::test_priority_scheduling_preemption_meeting_threshold_validation,test/registered/scheduler/test_priority_scheduling.py::TestPriorityScheduling::test_priority_scheduling_request_ordering_validation,test/registered/scheduler/test_priority_scheduling.py::TestPrioritySchedulingMultipleRunningRequests::test_priority_scheduling_preemption_token_offset_calculation,test/registered/scheduler/test_priority_scheduling.py::TestPrioritySchedulingMultipleRunningRequests::test_priority_scheduling_with_multiple_running_requests_preemption
test/registered/scheduler/test_retract_decode.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	916f91a30f796a3b	test/registered/scheduler/test_retract_decode.py::TestRetractDecode::test_mmlu,test/registered/scheduler/test_retract_decode.py::TestRetractDecodeChunkCache::test_mmlu,test/registered/scheduler/test_retract_decode.py::TestRetractDecodeChunkCachePaged::test_mmlu,test/registered/scheduler/test_retract_decode.py::TestRetractDecodeLongOutput::test_long_output_retract,test/registered/scheduler/test_retract_decode.py::TestRetractDecodeLongOutputChunkCache::test_long_output_retract,test/registered/scheduler/test_retract_decode.py::TestRetractDecodePaged::test_mmlu
test/registered/scheduler/test_routing_key_scheduling.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	c689622bde4ae121	test/registered/scheduler/test_routing_key_scheduling.py::TestRoutingKeyScheduling::test_routing_key_scheduling_order
test/registered/scheduler/test_scheduler_control.py	EXCLUDED	needs_server:launches_real_server:popen_launch_server	93affefd77db3322	test/registered/scheduler/test_scheduler_control.py::TestAbort::test_memory_leak,test/registered/scheduler/test_scheduler_control.py::TestAbortAllWithRetraction::test_abort_all_with_retraction,test/registered/scheduler/test_scheduler_control.py::TestAbortWithApiKey::test_memory_leak_with_api_key,test/registered/scheduler/test_scheduler_control.py::TestAbortWithRunningTimeout::test_running_timeout,test/registered/scheduler/test_scheduler_control.py::TestAbortWithWaitingTimeout::test_waiting_timeout,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_abort_all,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_duplicate_rid_concurrent_rejected,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_duplicate_rid_in_batch,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_duplicate_rid_sequential_ok,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_pause_resume_in_place,test/registered/scheduler/test_scheduler_control.py::TestSchedulerControl::test_server_healthy_after_duplicate_rid
test/registered/scheduler/test_seam_fingerprint_and_margin_656.py	PARALLEL	solo_equals_serial	17483eb26a42c7d5	
test/registered/scheduler/test_seam_shrink_834.py	PARALLEL	solo_equals_serial	6d0e2bc179af7d7e	
test/registered/scheduler/test_seam_window_830.py	PARALLEL	solo_equals_serial	90d9be8bb26ff3e8	
test/registered/scheduler/test_step6_harness.py	PARALLEL	solo_equals_serial	58f2346464fe4cda	test/registered/scheduler/test_step6_harness.py::TestFlipStatsParserAgainstRealFormat::test_parser_reads_lines_the_real_runtime_emits
test/registered/scheduler/test_vram_dial.py	RANKS	solo_equals_serial;spawns_real_ranks:torch.distributed	d9df39414ad6699a	
test/registered/scheduler/test_vram_dial_corridor_658.py	PARALLEL	solo_equals_serial	f70130183bc699be	
test/registered/scheduler/test_weights_arena.py	PARALLEL	solo_equals_serial	c265164fdce94965	
